region,size,threads,computation_time,total_time
2,32,8,0.0003,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0069,0.0072
1,32,8,0.0002,0.0003
2,32,8,0.0003,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,8,0.0002,0.0003
2,32,8,0.0003,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,8,0.0002,0.0003
2,32,8,0.0003,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,8,0.0002,0.0003
2,32,8,0.0003,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0005
1,32,8,0.0002,0.0003
2,32,8,0.0003,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,16,0.0003,0.0005
2,32,16,0.0006,0.0007
3,32,16,0.0006,0.0007
4,32,16,0.0006,0.0007
1,32,16,0.0004,0.0005
2,32,16,0.0008,0.0010
3,32,16,0.0008,0.0009
4,32,16,0.0009,0.0010
1,32,16,0.0002,0.0004
2,32,16,0.0006,0.0007
3,32,16,0.0009,0.0010
4,32,16,0.0009,0.0010
1,32,16,0.0003,0.0004
2,32,16,0.0009,0.0010
3,32,16,0.0009,0.0011
4,32,16,0.0009,0.0010
1,32,16,0.0002,0.0004
2,32,16,0.0007,0.0008
3,32,16,0.0008,0.0010
4,32,16,0.0005,0.0006
1,32,16,0.0003,0.0004
2,32,16,0.0006,0.0007
3,32,16,0.0008,0.0009
4,32,16,0.0007,0.0008
1,32,16,0.0003,0.0004
2,32,16,0.0005,0.0006
3,32,16,0.0009,0.0010
4,32,16,0.0006,0.0007
1,32,16,0.0002,0.0003
2,32,16,0.0007,0.0008
3,32,16,0.0005,0.0006
4,32,16,0.0007,0.0008
1,32,16,0.0003,0.0004
2,32,16,0.0006,0.0007
3,32,16,0.0007,0.0008
4,32,16,0.0009,0.0010
1,32,16,0.0003,0.0004
2,32,16,0.0005,0.0006
3,32,16,0.0007,0.0008
4,32,16,0.0005,0.0006
1,32,32,0.0006,0.0007
2,32,32,0.0013,0.0014
3,32,32,0.0012,0.0013
4,32,32,0.0013,0.0014
1,32,32,0.0006,0.0007
2,32,32,0.0013,0.0014
3,32,32,0.0013,0.0014
4,32,32,0.0012,0.0013
1,32,32,0.0006,0.0007
2,32,32,0.0011,0.0012
3,32,32,0.0012,0.0013
4,32,32,0.0014,0.0016
1,32,32,0.0006,0.0007
2,32,32,0.0014,0.0016
3,32,32,0.0011,0.0013
4,32,32,0.0013,0.0014
1,32,32,0.0005,0.0007
2,32,32,0.0014,0.0016
3,32,32,0.0010,0.0012
4,32,32,0.0015,0.0016
1,32,32,0.0006,0.0007
2,32,32,0.0013,0.0014
3,32,32,0.0011,0.0012
4,32,32,0.0012,0.0013
1,32,32,0.0005,0.0006
2,32,32,0.0010,0.0012
3,32,32,0.0013,0.0015
4,32,32,0.0015,0.0016
1,32,32,0.0006,0.0007
2,32,32,0.0014,0.0015
3,32,32,0.0012,0.0013
4,32,32,0.0014,0.0015
1,32,32,0.0006,0.0007
2,32,32,0.0012,0.0014
3,32,32,0.0010,0.0012
4,32,32,0.0015,0.0016
1,32,32,0.0005,0.0007
2,32,32,0.0012,0.0013
3,32,32,0.0013,0.0014
4,32,32,0.0014,0.0015
1,64,1,0.0007,0.0009
2,64,1,0.0044,0.0047
3,64,1,0.0043,0.0045
4,64,1,0.0050,0.0053
1,64,1,0.0007,0.0009
2,64,1,0.0044,0.0047
3,64,1,0.0042,0.0044
4,64,1,0.0051,0.0053
1,64,1,0.0007,0.0010
2,64,1,0.0044,0.0046
3,64,1,0.0042,0.0045
4,64,1,0.0050,0.0053
1,64,1,0.0007,0.0009
2,64,1,0.0044,0.0046
3,64,1,0.0042,0.0044
4,64,1,0.0048,0.0050
1,64,1,0.0007,0.0009
2,64,1,0.0044,0.0046
3,64,1,0.0042,0.0044
4,64,1,0.0050,0.0052
1,64,1,0.0007,0.0009
2,64,1,0.0045,0.0047
3,64,1,0.0042,0.0044
4,64,1,0.0050,0.0053
1,64,1,0.0007,0.0009
2,64,1,0.0044,0.0046
3,64,1,0.0042,0.0044
4,64,1,0.0050,0.0052
1,64,1,0.0007,0.0009
2,64,1,0.0044,0.0047
3,64,1,0.0042,0.0044
4,64,1,0.0050,0.0053
1,64,1,0.0006,0.0009
2,64,1,0.0044,0.0046
3,64,1,0.0040,0.0043
4,64,1,0.0051,0.0054
1,64,1,0.0007,0.0009
2,64,1,0.0044,0.0046
3,64,1,0.0042,0.0044
4,64,1,0.0051,0.0054
1,64,2,0.0005,0.0007
2,64,2,0.0026,0.0028
3,64,2,0.0022,0.0024
4,64,2,0.0027,0.0030
1,64,2,0.0004,0.0007
2,64,2,0.0025,0.0028
3,64,2,0.0022,0.0024
4,64,2,0.0027,0.0030
1,64,2,0.0004,0.0006
2,64,2,0.0025,0.0028
3,64,2,0.0022,0.0024
4,64,2,0.0028,0.0030
1,64,2,0.0004,0.0006
2,64,2,0.0025,0.0028
3,64,2,0.0022,0.0025
4,64,2,0.0028,0.0031
1,64,2,0.0004,0.0007
2,64,2,0.0025,0.0028
3,64,2,0.0022,0.0024
4,64,2,0.0027,0.0030
1,64,2,0.0004,0.0006
2,64,2,0.0026,0.0028
3,64,2,0.0022,0.0024
4,64,2,0.0027,0.0030
1,64,2,0.0004,0.0006
2,64,2,0.0025,0.0028
3,64,2,0.0022,0.0024
4,64,2,0.0028,0.0030
1,64,2,0.0004,0.0006
2,64,2,0.0026,0.0028
3,64,2,0.0024,0.0026
4,64,2,0.0028,0.0030
1,64,2,0.0004,0.0007
2,64,2,0.0025,0.0028
3,64,2,0.0022,0.0024
4,64,2,0.0027,0.0030
1,64,2,0.0004,0.0007
2,64,2,0.0025,0.0028
3,64,2,0.0025,0.0027
4,64,2,0.0028,0.0031
1,64,4,0.0004,0.0007
2,64,4,0.0013,0.0016
3,64,4,0.0013,0.0015
4,64,4,0.0015,0.0018
1,64,4,0.0004,0.0006
2,64,4,0.0013,0.0016
3,64,4,0.0013,0.0015
4,64,4,0.0014,0.0016
1,64,4,0.0004,0.0006
2,64,4,0.0014,0.0017
3,64,4,0.0013,0.0016
4,64,4,0.0014,0.0016
1,64,4,0.0004,0.0007
2,64,4,0.0014,0.0016
3,64,4,0.0014,0.0018
4,64,4,0.0014,0.0017
1,64,4,0.0004,0.0006
