size,procs,threads,computation_time
4096,4,16,3.5216
4096,4,16,3.7813
4096,4,16,3.5291
4096,4,16,3.7887
4096,8,1,4.4657
4096,8,1,4.5550
4096,8,1,4.5668
4096,8,1,4.3333
4096,8,1,4.4661
4096,8,1,4.5787
4096,8,1,4.5652
4096,8,1,4.5123
4096,8,1,4.6538
4096,8,1,4.4635
4096,8,1,4.6714
4096,8,1,4.3181
4096,8,1,4.4171
4096,8,1,4.5592
4096,8,1,4.6453
4096,8,2,4.0823
4096,8,2,4.0365
4096,8,2,4.1552
4096,8,2,4.1213
4096,8,2,4.3244
4096,8,2,4.2097
4096,8,2,4.1247
4096,8,2,4.1188
4096,8,2,4.0853
4096,8,2,4.0303
4096,8,2,4.0868
4096,8,2,4.3592
4096,8,2,4.1445
4096,8,2,4.3047
4096,8,2,4.2651
4096,8,4,4.0578
4096,8,4,4.0020
4096,8,4,3.9175
4096,8,4,4.0384
4096,8,4,4.0147
4096,8,4,3.8939
4096,8,4,4.1896
4096,8,4,4.0193
4096,8,4,4.0174
4096,8,4,3.9260
4096,8,4,3.9252
4096,8,4,3.8609
4096,8,4,3.9564
4096,8,4,4.0519
4096,8,4,3.8978
4096,8,8,3.8653
4096,8,8,4.0774
4096,8,8,3.8585
4096,8,8,3.8103
4096,8,8,4.0496
4096,8,8,3.8651
4096,8,8,3.8531
4096,8,8,3.8706
4096,8,8,3.9569
4096,8,8,4.0262
4096,8,8,3.7935
4096,8,8,3.9405
4096,8,8,3.8327
4096,8,8,3.8959
4096,8,8,3.9378
4096,16,1,5.2283
4096,16,1,5.2049
4096,16,1,4.5471
4096,16,1,5.1805
4096,16,1,5.1300
4096,16,1,5.1244
4096,16,1,5.0587
4096,16,1,4.8968
4096,16,1,5.0868
4096,16,1,5.0587
4096,16,1,5.2440
4096,16,1,5.2385
4096,16,1,5.1178
4096,16,1,5.0706
4096,16,1,5.2338
4096,16,2,4.9721
4096,16,2,4.6969
4096,16,2,5.0470
4096,16,2,4.3645
