region,size,io_time,memory_time,computation_time,total_time
3,512,0.0046,0.0072,0.2491,0.2609
4,512,0.0041,0.0070,0.2979,0.3090
1,512,0.0037,0.0075,0.0381,0.0493
2,512,0.0041,0.0077,0.2634,0.2753
3,512,0.0041,0.0074,0.2455,0.2571
4,512,0.0039,0.0071,0.2982,0.3092
1,512,0.0038,0.0076,0.0390,0.0504
2,512,0.0042,0.0081,0.2617,0.2739
3,512,0.0042,0.0073,0.2464,0.2580
4,512,0.0039,0.0074,0.2996,0.3109
1,512,0.0041,0.0074,0.0386,0.0500
2,512,0.0043,0.0078,0.2606,0.2727
3,512,0.0044,0.0071,0.2497,0.2612
4,512,0.0038,0.0073,0.2965,0.3076
1,512,0.0045,0.0074,0.0385,0.0504
2,512,0.0041,0.0077,0.2638,0.2756
3,512,0.0043,0.0071,0.2484,0.2599
4,512,0.0041,0.0072,0.2971,0.3084
1,512,0.0044,0.0076,0.0373,0.0493
2,512,0.0041,0.0076,0.2615,0.2731
3,512,0.0071,0.0073,0.2477,0.2621
4,512,0.0043,0.0074,0.2962,0.3078
1,512,0.0041,0.0072,0.0395,0.0508
2,512,0.0045,0.0077,0.2629,0.2751
3,512,0.0042,0.0073,0.2466,0.2581
4,512,0.0039,0.0075,0.2973,0.3087
1,512,0.0046,0.0076,0.0380,0.0503
2,512,0.0046,0.0076,0.2606,0.2728
3,512,0.0039,0.0075,0.2510,0.2624
4,512,0.0039,0.0073,0.2975,0.3086
1,512,0.0040,0.0073,0.0384,0.0497
2,512,0.0045,0.0076,0.2608,0.2728
3,512,0.0039,0.0072,0.2500,0.2611
4,512,0.0041,0.0074,0.2958,0.3073
1,512,0.0041,0.0077,0.0387,0.0505
2,512,0.0044,0.0077,0.2605,0.2726
3,512,0.0040,0.0073,0.2461,0.2575
4,512,0.0046,0.0073,0.2978,0.3097
1,1024,0.0148,0.0311,0.1497,0.1957
2,1024,0.0146,0.0322,1.0702,1.1170
3,1024,0.0234,0.0315,1.0189,1.0738
4,1024,0.0230,0.0302,1.2229,1.2762
1,1024,0.0179,0.0302,0.1588,0.2068
2,1024,0.0155,0.0294,1.0762,1.1211
3,1024,0.0154,0.0314,1.0096,1.0565
4,1024,0.0147,0.0314,1.2189,1.2650
1,1024,0.0144,0.0313,0.1556,0.2013
2,1024,0.0184,0.0287,1.0583,1.1054
3,1024,0.0185,0.0308,1.0017,1.0511
4,1024,0.0229,0.0321,1.2117,1.2667
1,1024,0.0141,0.0313,0.1558,0.2012
2,1024,0.0149,0.0305,1.0777,1.1232
3,1024,0.0155,0.0315,1.0139,1.0609
4,1024,0.0152,0.0303,1.2179,1.2635
1,1024,0.0149,0.0301,0.1565,0.2015
2,1024,0.0147,0.0291,1.0625,1.1062
3,1024,0.0146,0.0306,1.0051,1.0503
4,1024,0.0214,0.0318,1.2126,1.2658
1,1024,0.0150,0.0325,0.1570,0.2045
2,1024,0.0152,0.0302,1.0670,1.1124
3,1024,0.0152,0.0303,1.0104,1.0560
4,1024,0.0152,0.0321,1.2642,1.3115
1,1024,0.0154,0.0327,0.1565,0.2047
2,1024,0.0153,0.0296,1.0617,1.1067
3,1024,0.0146,0.0314,1.0057,1.0517
4,1024,0.0153,0.0320,1.2177,1.2651
1,1024,0.0147,0.0317,0.1567,0.2031
2,1024,0.0154,0.0294,1.0647,1.1095
3,1024,0.0157,0.0311,1.0014,1.0482
4,1024,0.0149,0.0319,1.2148,1.2616
1,1024,0.0145,0.0305,0.1571,0.2021
2,1024,0.0156,0.0295,1.0716,1.1166
3,1024,0.0153,0.0312,0.9995,1.0460
4,1024,0.0151,0.0308,1.2138,1.2596
